,time,swh(m),period(s),direction_(deg)
12642,2022-06-11 18:00:00,0.5157360611123193,2.911555613842473,281.4891465728665
12643,2022-06-11 19:00:00,0.5082483156300613,2.961638665098503,281.93960653737895
12644,2022-06-11 20:00:00,0.5082071741713676,2.963187625446628,282.6482569693558
12645,2022-06-11 21:00:00,0.5221952701272342,2.9710615072162616,283.12618400487514
12646,2022-06-11 22:00:00,0.5333446054332338,2.995586712728235,285.120293359973
12647,2022-06-11 23:00:00,0.5263094159966067,3.022306278733385,284.54897828303035
12648,2022-06-12 00:00:00,0.4908454786026154,3.0260495995746863,283.9282224782754
12649,2022-06-12 01:00:00,0.46513206691903697,2.998168313308443,283.89526199306715
12650,2022-06-12 02:00:00,0.4253071349035107,2.971965067419334,284.18641294573985
12651,2022-06-12 03:00:00,0.3836308372467667,2.937500699673561,284.76322143688384
12652,2022-06-12 04:00:00,0.3472617877615134,2.8907737291718005,285.3729904132361
12653,2022-06-12 05:00:00,0.3214249517018539,2.8242975142314513,285.6751281943115
12654,2022-06-12 06:00:00,0.29517670105525706,2.7793776641358368,285.9827593895883
12655,2022-06-12 07:00:00,0.27263118169109535,2.7360067743883465,287.35611293993117
12656,2022-06-12 08:00:00,0.25411752527891895,2.6953465652500745,290.3170631944704
12657,2022-06-12 09:00:00,0.24078769266215194,2.6425528333848263,296.6784368396585
12658,2022-06-12 10:00:00,0.21248236908086882,2.63377539141212,299.57346612378126
12659,2022-06-12 11:00:00,0.19363958099914247,2.608733865784105,299.96349853207863
12660,2022-06-12 12:00:00,0.17722413898034595,2.5785291389956746,299.90856439006495
12661,2022-06-12 13:00:00,0.16179609197019884,2.5581344944120334,299.7602422066279
12662,2022-06-12 14:00:00,0.14772571309694493,2.5412250106116727,299.6998146504128
12663,2022-06-12 15:00:00,0.13505414381927738,2.5223793263761562,299.7382685498224
12664,2022-06-12 16:00:00,0.13645295341486396,2.361932850316245,295.17873476268414
12665,2022-06-12 17:00:00,0.16080869696154942,2.238919582669346,274.08402422941776
12666,2022-06-12 18:00:00,0.19746573665765887,2.304621317435633,261.49861229407577
12667,2022-06-12 19:00:00,0.22075180227830749,2.3367622446592193,258.25749791526664
12668,2022-06-12 20:00:00,0.23494560552764288,2.3660634112445775,256.40621732940446
12669,2022-06-12 21:00:00,0.25411752527891895,2.4064654603248283,253.68697729972558
12670,2022-06-12 22:00:00,0.2508673500421146,2.473328915352209,252.00599255410592
12671,2022-06-12 23:00:00,0.24350302893593767,2.4929490797617877,246.90261076103184
12672,2022-06-13 00:00:00,0.22823954776056565,2.51708704518673,245.63363208051504
12673,2022-06-13 01:00:00,0.21231780324609395,2.536319969509278,244.79863312190656
12674,2022-06-13 02:00:00,0.20269070191176208,2.50366272216965,242.98031302125264
12675,2022-06-13 03:00:00,0.18886717179067025,2.5074060430109513,241.66738702712485
12676,2022-06-13 04:00:00,0.17631902688908396,2.508955003359076,240.2885400625806
12677,2022-06-13 05:00:00,0.16504626720700322,2.5070188029239198,238.87123919862677
12678,2022-06-13 06:00:00,0.15500775128573419,2.5018556017635043,237.38252395005512
12679,2022-06-13 07:00:00,0.145586357244871,2.4954016003129853,235.86084821627523
12680,2022-06-13 08:00:00,0.13727578258873852,2.485978758195227,234.28423834048164
12681,2022-06-13 09:00:00,0.13472501214972765,2.4317651460108642,229.40608652966378
12682,2022-06-13 10:00:00,0.15179871750762364,2.192192612167586,156.6183483614921
12683,2022-06-13 11:00:00,0.15130502000329904,2.1832860901658693,132.52972708847832
12684,2022-06-13 12:00:00,0.15307410272712918,2.1939997325737313,124.02592190475532
12685,2022-06-13 13:00:00,0.14805484476649466,2.182898850078838,123.96549434854023
12686,2022-06-13 14:00:00,0.1547609025335719,2.1879329712102433,127.0308194729055
12687,2022-06-13 15:00:00,0.18030974838237546,2.2724803902120465,123.71829070947851
12688,2022-06-13 16:00:00,0.20063362897707582,2.31352783943735,124.53131601128149
12689,2022-06-13 17:00:00,0.21058986198095742,2.3114625589731834,127.8768052599167
12690,2022-06-13 18:00:00,0.21515656389596094,2.3268230824254195,131.77712934289042
12691,2022-06-13 19:00:00,0.21717249537195338,2.350961047850362,136.01804510634918
12692,2022-06-13 20:00:00,0.21951755851749577,2.381940254812855,140.4786974378628
12693,2022-06-13 21:00:00,0.22519507981722997,2.4104669412241506,146.64230817180157
12694,2022-06-13 22:00:00,0.226223616284573,2.4020767393384754,161.4690331013031
12695,2022-06-13 23:00:00,0.26362120223716956,2.4742324755552816,182.0528561138419
12696,2022-06-14 00:00:00,0.29015744309462255,2.4898511590655383,191.51251536860354
12697,2022-06-14 01:00:00,0.29916742254854833,2.5279297676236028,197.45638953448744
12698,2022-06-14 02:00:00,0.2987971494203048,2.55697277415094,200.0437876233334
12699,2022-06-14 03:00:00,0.3119624162022969,2.5711715773420822,203.14756664710828
12700,2022-06-14 04:00:00,0.3239757221408648,2.5954386227960353,204.96588674776223
