,time,wnd_speed(m/s),direction_(deg),u10,v10
17159,2022-12-16 23:00:00,1.9924183189792934,20.949976460830328,-0.7123946030800643,-1.8607054273330508
17160,2022-12-17 00:00:00,3.388212621917523,30.602905968418042,-1.7248884626050667,-2.9162895197310474
17161,2022-12-17 01:00:00,3.723097050790133,27.132620109702827,-1.697924578196944,-3.3133825279247366
17162,2022-12-17 02:00:00,2.7321531452565626,2.2795795714610563,-0.10867323118220029,-2.729991014263554
17163,2022-12-17 03:00:00,2.727413413255946,350.54306637870826,0.44813098184553035,-2.6903461765948657
17164,2022-12-17 04:00:00,3.0556222214896334,3.46055915047549,-0.18444174636902488,-3.0500505573936945
17165,2022-12-17 05:00:00,2.220529773431906,10.636500356888234,-0.40985982002092936,-2.182376549230211
17166,2022-12-17 06:00:00,1.3717407054004627,350.78174792598605,0.2197468809087324,-1.3540250629820123
17167,2022-12-17 07:00:00,1.7554168219047441,331.16354078235383,0.8466571933975818,-1.5377450424222743
17168,2022-12-17 08:00:00,1.8852307050410722,359.680666259218,0.010507137901701213,-1.8852014245917523
17169,2022-12-17 09:00:00,3.228366257835034,35.16750625449697,-1.859438245801598,-2.6390979718036345
17170,2022-12-17 10:00:00,4.117606792620425,36.13957271627976,-2.4283762068129846,-3.3253082108006833
17171,2022-12-17 11:00:00,4.209078644840862,42.64967277687947,-2.8517091920205084,-3.0958193943770578
17172,2022-12-17 12:00:00,4.098155596849798,41.14400718358144,-2.6963972178297224,-3.086149921774939
17173,2022-12-17 13:00:00,4.6154703468740985,35.028577115840505,-2.649210420115508,-3.7794511073468753
17174,2022-12-17 14:00:00,4.62276556139831,30.00729128027325,-2.3118922261698946,-4.003138240209229
17175,2022-12-17 15:00:00,4.131197267486603,34.59532543142336,-2.345597081680048,-3.4007300970972123
17176,2022-12-17 16:00:00,3.628219618779074,41.8815725733258,-2.422174513399116,-2.7013049122106008
17177,2022-12-17 17:00:00,2.5463211145852673,64.4931370867406,-2.298140645121752,-1.0964947760122414
17178,2022-12-17 18:00:00,1.832770245791583,100.23197780100682,-1.8036230050767843,0.32556232800606755
17179,2022-12-17 19:00:00,1.202266692487332,73.09065536009791,-1.1502880858679747,-0.34968917537524646
17180,2022-12-17 20:00:00,0.5908688192994742,34.876722344298344,-0.33786624865124226,-0.48473947605150924
17181,2022-12-17 21:00:00,0.6093117459156868,21.986921838779153,-0.22812323911018328,-0.5649960986490974
17182,2022-12-17 22:00:00,1.9337550780185344,32.412027160469506,-1.0365004936656979,-1.6325058739230411
17183,2022-12-17 23:00:00,2.9217303260450977,40.42214226716254,-1.8944912955321573,-2.224277597172727
17184,2022-12-18 00:00:00,4.125921368175785,49.95506435993286,-3.158558196584943,-2.654569127967025
17185,2022-12-18 01:00:00,3.812798905503933,45.94919434146698,-2.740348349414962,-2.6510236546795816
17186,2022-12-18 02:00:00,3.1725766290385393,38.5965815315962,-1.9791578925736624,-2.47955167386867
17187,2022-12-18 03:00:00,2.665278620890405,48.97360751785777,-2.010705637331166,-1.7495064924086816
17188,2022-12-18 04:00:00,1.772607537271873,73.73936658418745,-1.7016995220140814,-0.49634284317405214
17189,2022-12-18 05:00:00,1.1535439069999653,78.96678899226731,-1.1322222833145328,-0.22076287401365913
17190,2022-12-18 06:00:00,1.2909249689888862,90.88801613296809,-1.2907699236342935,0.02000699377910542
17191,2022-12-18 07:00:00,1.4210042771542457,96.31677950482162,-1.412377042314926,0.15634655746898396
17192,2022-12-18 08:00:00,1.873944229296707,105.0948871061766,-1.8092854208024902,0.48800946772166753
17193,2022-12-18 09:00:00,1.9885446541805607,80.85144209463789,-1.9632492007728701,-0.3161683370212337
17194,2022-12-18 10:00:00,2.7957766278936327,40.18221652545469,-1.8038926439208658,-2.13596308074004
17195,2022-12-18 11:00:00,3.628684659640445,34.76170634221381,-2.0689476276527103,-2.981074986165245
17196,2022-12-18 12:00:00,4.552449253289249,42.232228040970995,-3.0598703796512146,-3.370754732030643
17197,2022-12-18 13:00:00,5.038021058245712,46.18859937098273,-3.635549311764631,-3.4877553505162835
17198,2022-12-18 14:00:00,4.705625624880257,53.22192730518577,-3.7690205395848375,-2.817338583436029
17199,2022-12-18 15:00:00,4.260078567939161,49.15071119763877,-3.222462602632193,-2.7863962711092483
17200,2022-12-18 16:00:00,5.371473874039341,45.296730109352325,-3.8178251703635393,-3.7784841600866637
17201,2022-12-18 17:00:00,5.810705607770774,37.732436859779796,-3.55600585276067,-4.595554594965724
17202,2022-12-18 18:00:00,5.660150149376142,26.109138208781133,-2.4909324186398285,-5.08257369835912
17203,2022-12-18 19:00:00,5.680544591158438,13.122664852586013,-1.2896913682579685,-5.532204174357656
17204,2022-12-18 20:00:00,4.774853258762101,347.4264710687247,1.0394489669156581,-4.660340061399921
17205,2022-12-18 21:00:00,3.9630677393408273,344.54376254956287,1.0561665752486942,-3.8197405765223715
17206,2022-12-18 22:00:00,1.6982126203407986,27.109860022557086,-0.773872259530584,-1.5116374663965528
17207,2022-12-18 23:00:00,0.8520941726381807,23.79556915267267,-0.3437983032210292,-0.7796583904161405
17208,2022-12-19 00:00:00,1.9193356814214442,28.706598900642973,-0.921903984931177,-1.683431762960868
17209,2022-12-19 01:00:00,2.9928081949914014,41.03573095229922,-1.9648670338373573,-2.2574761197733357
17210,2022-12-19 02:00:00,3.1147063302582665,45.119082977516086,-2.207002715822298,-2.1978477053936016
17211,2022-12-19 03:00:00,3.95858559188041,47.16035941939924,-2.9026709335518603,-2.691635439608482
17212,2022-12-19 04:00:00,4.6589517657090065,40.349943614423296,-3.016458525754137,-3.550606922430058
17213,2022-12-19 05:00:00,4.492587635922672,42.265764285144144,-3.0215816637916806,-3.3246635792938752
17214,2022-12-19 06:00:00,4.258452376091986,34.29635194483575,-2.3995248504962934,-3.5180530313362564
17215,2022-12-19 07:00:00,3.826993852824082,29.997736877516104,-1.9133660146178433,-3.3143494751849483
17216,2022-12-19 08:00:00,4.04619790051785,19.301362357976302,-1.3374174436603452,-3.818773629262159
17217,2022-12-19 09:00:00,4.04362042063709,14.895881474990688,-1.039466520950591,-3.9077327772016544
17218,2022-12-19 10:00:00,4.8580936041308105,15.940009108598701,-1.334181777531371,-4.671298797015656
17219,2022-12-19 11:00:00,4.831003658777283,17.59866053777324,-1.4606423954054657,-4.604901751814438
17220,2022-12-19 12:00:00,5.050542015656864,18.818578822194752,-1.6291666729562313,-4.780563837419601
17221,2022-12-19 13:00:00,5.629061477739935,21.313818566574582,-2.046028325905806,-5.2440538908145085
17222,2022-12-19 14:00:00,5.983810376839078,20.801431737417488,-2.125032507221605,-5.593766483257814
17223,2022-12-19 15:00:00,6.190342519089967,19.42198744608254,-2.0584317127335425,-5.838081824338023
17224,2022-12-19 16:00:00,6.49724083825774,20.201766901499923,-2.243673598617345,-6.0975460058282165
17225,2022-12-19 17:00:00,6.550211015659313,18.581840514062492,-2.0872830690502338,-6.208744940752586
17226,2022-12-19 18:00:00,6.365833730387878,16.27432406953818,-1.7839393694588548,-6.110760951717779
17227,2022-12-19 19:00:00,5.86368212778974,15.06722682688968,-1.5242771626086347,-5.662097422979455
17228,2022-12-19 20:00:00,4.9580355876045825,9.93369961448974,-0.8553031904431139,-4.883704878508871
